team,games_country,team_match,home_team_match
United States of America,Greece,United States,Greece
United States of America,United Kingdom,United States,United Kingdom
United States of America,Sweden,United States,Sweden
United States of America,Belgium,United States,Belgium
United States of America,France,United States,France
United States of America,France,United States,France
United States of America,Netherlands,United States,Netherlands
United States of America,Switzerland,United States,Switzerland
United States of America,United States,United States,United States
United States of America,United States,United States,United States
United States of America,Germany,United States,Germany
United States of America,Germany,United States,Germany
United States of America,Switzerland,United States,Switzerland
United States of America,United Kingdom,United States,United Kingdom
United States of America,Finland,United States,Finland
United States of America,Norway,United States,Norway
United States of America,Australia,United States,Australia
United States of America,United States,United States,United States
United States of America,Italy,United States,Italy
United States of America,Austria,United States,Austria
United States of America,Japan,United States,Japan
United States of America,Mexico,United States,Mexico
United States of America,France,United States,France
United States of America,Japan,United States,Japan
United States of America,Germany,United States,Germany
United States of America,Canada,United States,Canada
United States of America,Austria,United States,Austria
United States of America,United States,United States,United States
United States of America,Bosnia and Herzegovina,United States,
United States of America,United States,United States,United States
United States of America,South Korea,United States,
United States of America,Canada,United States,Canada
United States of America,France,United States,France
United States of America,Spain,United States,Spain
United States of America,Norway,United States,Norway
United States of America,United States,United States,United States
United States of America,Japan,United States,Japan
United States of America,Australia,United States,Australia
United States of America,United States,United States,United States
United States of America,Greece,United States,Greece
United States of America,China,United States,China
United States of America,Canada,United States,Canada
United States of America,United Kingdom,United States,United Kingdom
United States of America,Russia,United States,Russian Federation
United States of America,Brazil,United States,Brazil
United States of America,South Korea,United States,
United States of America,Japan,United States,Japan
Greece,Greece,Greece,Greece
Greece,United Kingdom,Greece,United Kingdom
Greece,Sweden,Greece,Sweden
Greece,Belgium,Greece,Belgium
Greece,France,Greece,France
Greece,Australia,Greece,Australia
Greece,Italy,Greece,Italy
Greece,Mexico,Greece,Mexico
Greece,Germany,Greece,Germany
Greece,Russia,Greece,Russian Federation
Greece,United States,Greece,United States
Greece,South Korea,Greece,
Greece,Spain,Greece,Spain
Greece,United States,Greece,United States
Greece,Australia,Greece,Australia
Greece,Greece,Greece,Greece
Greece,China,Greece,China
Greece,United Kingdom,Greece,United Kingdom
Greece,Brazil,Greece,Brazil
Greece,Japan,Greece,Japan
Germany,Greece,Germany,Greece
Germany,United Kingdom,Germany,United Kingdom
Germany,Sweden,Germany,Sweden
Germany,Netherlands,Germany,Netherlands
Germany,Switzerland,Germany,Switzerland
Germany,United States,Germany,United States
Germany,United States,Germany,United States
Germany,Germany,Germany,Germany
Germany,Germany,Germany,Germany
Germany,Finland,Germany,Finland
Germany,Norway,Germany,Norway
Germany,Australia,Germany,Australia
Germany,United States,Germany,United States
Germany,Italy,Germany,Italy
Germany,Austria,Germany,Austria
Germany,Japan,Germany,Japan
Germany,France,Germany,France
Germany,Spain,Germany,Spain
Germany,Norway,Germany,Norway
Germany,United States,Germany,United States
Germany,Japan,Germany,Japan
Germany,Australia,Germany,Australia
Germany,United States,Germany,United States
Germany,Greece,Germany,Greece
Germany,China,Germany,China
Germany,Canada,Germany,Canada
Germany,United Kingdom,Germany,United Kingdom
