games,summer,team,gold,silver,bronze,total,games_city,games_year,games_country,team_match,population,gdp_pc,home_team_match,home_team
Athens 1896,1.0,United States of America,11,7,2,20,Athens ,1896,Greece,United States,71161.0,6885.67,Greece,0
London 1908,1.0,United States of America,23,12,12,47,London ,1908,United Kingdom,United States,89055.0,8975.98,United Kingdom,0
Stockholm 1912,1.0,United States of America,26,19,19,64,Stockholm ,1912,Sweden,United States,95703.0,9976.57,Sweden,0
Antwerp 1920,1.0,United States of America,41,27,27,95,Antwerp ,1920,Belgium,United States,106881.0,10152.93,Belgium,0
Paris 1924,1.0,United States of America,45,27,27,99,Paris ,1924,France,United States,114558.0,11126.71,France,0
Chamonix 1924,0.0,United States of America,1,2,1,4,Chamonix ,1924,France,United States,114558.0,11126.71,France,0
Amsterdam 1928,1.0,United States of America,22,18,16,56,Amsterdam ,1928,Netherlands,United States,120971.0,11451.07,Netherlands,0
St. Moritz 1928,0.0,United States of America,2,2,2,6,St. Moritz ,1928,Switzerland,United States,120971.0,11451.07,Switzerland,0
Lake Placid 1932,0.0,United States of America,6,4,2,12,Lake Placid ,1932,United States,United States,125436.0,8380.5,United States,1
Los Angeles 1932,1.0,United States of America,44,36,30,110,Los Angeles ,1932,United States,United States,125436.0,8380.5,United States,1
Garmisch-Partenkirchen 1936,0.0,United States of America,1,0,3,4,Garmisch-Partenkirchen ,1936,Germany,United States,128681.0,10568.01,Germany,0
Berlin 1936,1.0,United States of America,24,21,12,57,Berlin ,1936,Germany,United States,128681.0,10568.01,Germany,0
St. Moritz 1948,0.0,United States of America,3,4,2,9,St. Moritz ,1948,Switzerland,United States,147203.0,14734.23,Switzerland,0
London 1948,1.0,United States of America,38,27,19,84,London ,1948,United Kingdom,United States,147203.0,14734.23,United Kingdom,0
Helsinki 1952,1.0,United States of America,40,19,17,76,Helsinki ,1952,Finland,United States,157553.0,16444.0,Finland,0
Oslo 1952,0.0,United States of America,4,6,1,11,Oslo ,1952,Norway,United States,157553.0,16444.0,Norway,0
Melbourne 1956,1.0,United States of America,32,25,17,74,Melbourne ,1956,Australia,United States,168903.0,17397.0,Australia,0
Squaw Valley 1960,0.0,United States of America,3,4,3,10,Squaw Valley ,1960,United States,United States,180671.0,18057.0,United States,1
Rome 1960,1.0,United States of America,34,21,16,71,Rome ,1960,Italy,United States,180671.0,18057.0,Italy,0
Innsbruck 1964,0.0,United States of America,1,2,4,7,Innsbruck ,1964,Austria,United States,191889.0,20360.0,Austria,0
Tokyo 1964,1.0,United States of America,36,26,28,90,Tokyo ,1964,Japan,United States,191889.0,20360.0,Japan,0
Mexico City 1968,1.0,United States of America,45,28,34,107,Mexico City ,1968,Mexico,United States,200706.0,23691.0,Mexico,0
Grenoble 1968,0.0,United States of America,1,5,1,7,Grenoble ,1968,France,United States,200706.0,23691.0,France,0
Sapporo 1972,0.0,United States of America,3,2,3,8,Sapporo ,1972,Japan,United States,209896.0,25414.0,Japan,0
Munich 1972,1.0,United States of America,33,31,30,94,Munich ,1972,Germany,United States,209896.0,25414.0,Germany,0
Montreal 1976,1.0,United States of America,34,35,25,94,Montreal ,1976,Canada,United States,218035.0,27058.0,Canada,0
Innsbruck 1976,0.0,United States of America,3,3,4,10,Innsbruck ,1976,Austria,United States,218035.0,27058.0,Austria,0
Lake Placid 1980,0.0,United States of America,6,4,2,12,Lake Placid ,1980,United States,United States,227726.0,29611.0,United States,1
Sarajevo 1984,0.0,United States of America,4,4,0,8,Sarajevo ,1984,Bosnia and Herzegovina,United States,236348.0,32076.0,Former Yugoslavia,0
Los Angeles 1984,1.0,United States of America,83,61,30,174,Los Angeles ,1984,United States,United States,236348.0,32076.0,United States,1
Seoul 1988,1.0,United States of America,36,31,27,94,Seoul ,1988,South Korea,United States,245021.0,35863.0,Republic of Korea,0
Calgary 1988,0.0,United States of America,2,1,3,6,Calgary ,1988,Canada,United States,245021.0,35863.0,Canada,0
Albertville 1992,0.0,United States of America,5,4,2,11,Albertville ,1992,France,United States,257037.0,37240.3,France,0
Barcelona 1992,1.0,United States of America,37,34,37,108,Barcelona ,1992,Spain,United States,257037.0,37240.3,Spain,0
Lillehammer 1994,0.0,United States of America,6,5,2,13,Lillehammer ,1994,Norway,United States,263662.0,38807.28,Norway,0
Atlanta 1996,1.0,United States of America,44,32,25,101,Atlanta ,1996,United States,United States,269944.0,40412.75,United States,1
Nagano 1998,0.0,United States of America,6,3,4,13,Nagano ,1998,Japan,United States,276417.0,43072.76,Japan,0
Sydney 2000,1.0,United States of America,37,24,32,93,Sydney ,2000,Australia,United States,282738.0,45886.47,Australia,0
Salt Lake City 2002,0.0,United States of America,10,13,11,34,Salt Lake City ,2002,United States,United States,288212.0,46266.3,United States,1
Athens 2004,1.0,United States of America,36,39,26,101,Athens ,2004,Greece,United States,293402.0,48492.72,Greece,0
Beijing 2008,1.0,United States of America,36,39,37,112,Beijing ,2008,China,United States,304714.0,50275.75,China,0
Vancouver 2010,0.0,United States of America,9,15,13,37,Vancouver ,2010,Canada,United States,309957.0,49266.92,Canada,0
London 2012,1.0,United States of America,46,28,30,104,London ,2012,United Kingdom,United States,314514.0,50394.0,United Kingdom,0
Sochi 2014,0.0,United States of America,9,9,10,28,Sochi ,2014,Russia,United States,319036.0,51664.0,Russian Federation,0
Rio 2016,1.0,United States of America,46,37,38,121,Rio ,2016,Brazil,United States,323730.0,53015.0,Brazil,0
PyeongChang 2018,0.0,United States of America,9,8,6,23,PyeongChang ,2018,South Korea,United States,327835.0,55334.74,Republic of Korea,0
Tokyo 2020,1.0,United States of America,39,41,33,113,Tokyo ,2020,Japan,United States,,,Japan,0
Athens 1896,1.0,Greece,10,18,19,47,Athens ,1896,Greece,Greece,4764.0,2359.0,Greece,1
London 1908,1.0,Greece,0,3,1,4,London ,1908,United Kingdom,Greece,5246.0,2550.0,United Kingdom,0
Stockholm 1912,1.0,Greece,1,0,1,2,Stockholm ,1912,Sweden,Greece,5390.0,3135.0,Sweden,0
Antwerp 1920,1.0,Greece,0,1,0,1,Antwerp ,1920,Belgium,Greece,5700.0,2284.0,Belgium,0
Paris 1924,1.0,Greece,1,0,0,1,Paris ,1924,France,Greece,6000.0,3279.0,France,0
Melbourne 1956,1.0,Greece,0,0,1,1,Melbourne ,1956,Australia,Greece,8031.0,4313.0,Australia,0
Rome 1960,1.0,Greece,1,0,0,1,Rome ,1960,Italy,Greece,8327.0,5015.0,Italy,0
Mexico City 1968,1.0,Greece,0,0,1,1,Mexico City ,1968,Mexico,Greece,8741.0,8394.0,Mexico,0
Munich 1972,1.0,Greece,0,2,0,2,Munich ,1972,Germany,Greece,8889.0,11795.0,Germany,0
Moscow 1980,1.0,Greece,1,0,2,3,Moscow ,1980,Russia,Greece,9643.0,14300.0,Russian Federation,0
Los Angeles 1984,1.0,Greece,0,1,1,2,Los Angeles ,1984,United States,Greece,9887.0,14453.0,United States,0
Seoul 1988,1.0,Greece,0,0,1,1,Seoul ,1988,South Korea,Greece,9983.0,15596.0,Republic of Korea,0
Barcelona 1992,1.0,Greece,2,0,0,2,Barcelona ,1992,Spain,Greece,10331.0,16545.96,Spain,0
Atlanta 1996,1.0,Greece,4,4,0,8,Atlanta ,1996,United States,Greece,10539.0,17719.56,United States,0
Sydney 2000,1.0,Greece,4,6,3,13,Sydney ,2000,Australia,Greece,10735.0,20965.33,Australia,0
Athens 2004,1.0,Greece,6,6,4,16,Athens ,2004,Greece,Greece,10883.0,25780.39,Greece,1
Beijing 2008,1.0,Greece,0,2,1,3,Beijing ,2008,China,Greece,11005.0,28907.93,China,0
London 2012,1.0,Greece,0,0,2,2,London ,2012,United Kingdom,Greece,10972.0,22693.0,United Kingdom,0
Rio 2016,1.0,Greece,3,1,2,6,Rio ,2016,Brazil,Greece,10705.0,22574.0,Brazil,0
Tokyo 2020,1.0,Greece,2,1,1,4,Tokyo ,2020,Japan,Greece,,,Japan,0
Athens 1896,1.0,Germany,6,5,2,13,Athens ,1896,Greece,Germany,51111.0,4368.0,Greece,0
London 1908,1.0,Germany,3,5,5,13,London ,1908,United Kingdom,Germany,61187.0,5187.0,United Kingdom,0
Stockholm 1912,1.0,Germany,6,13,7,26,Stockholm ,1912,Sweden,Germany,64457.0,5617.0,Sweden,0
Amsterdam 1928,1.0,Germany,11,9,19,39,Amsterdam ,1928,Netherlands,Germany,64393.0,6519.0,Netherlands,0
St. Moritz 1928,0.0,Germany,0,0,1,1,St. Moritz ,1928,Switzerland,Germany,64393.0,6519.0,Switzerland,0
Lake Placid 1932,0.0,Germany,0,0,2,2,Lake Placid ,1932,United States,Germany,65716.0,5359.0,United States,0
Los Angeles 1932,1.0,Germany,5,12,7,24,Los Angeles ,1932,United States,Germany,65716.0,5359.0,United States,0
Garmisch-Partenkirchen 1936,0.0,Germany,3,3,0,6,Garmisch-Partenkirchen ,1936,Germany,Germany,67349.0,7095.0,Germany,1
Berlin 1936,1.0,Germany,38,31,32,101,Berlin ,1936,Germany,Germany,67349.0,7095.0,Germany,1
Helsinki 1952,1.0,Germany,0,7,17,24,Helsinki ,1952,Finland,Germany,69146.0,7257.0,Finland,0
Oslo 1952,0.0,Germany,3,2,2,7,Oslo ,1952,Norway,Germany,69146.0,7257.0,Norway,0
Melbourne 1956,1.0,Germany,4,10,6,20,Melbourne ,1956,Australia,Germany,70603.0,9846.0,Australia,0
Squaw Valley 1960,0.0,Germany,4,3,1,8,Squaw Valley ,1960,United States,Germany,72481.0,12282.0,United States,0
Rome 1960,1.0,Germany,12,19,11,42,Rome ,1960,Italy,Germany,72481.0,12282.0,Italy,0
Innsbruck 1964,0.0,Germany,3,3,3,9,Innsbruck ,1964,Austria,Germany,74954.0,14062.0,Austria,0
Tokyo 1964,1.0,Germany,10,22,18,50,Tokyo ,1964,Japan,Germany,74954.0,14062.0,Japan,0
Albertville 1992,0.0,Germany,10,10,6,26,Albertville ,1992,France,Germany,80571.0,27385.06,France,0
Barcelona 1992,1.0,Germany,33,21,28,82,Barcelona ,1992,Spain,Germany,80571.0,27385.06,Spain,0
Lillehammer 1994,0.0,Germany,9,7,8,24,Lillehammer ,1994,Norway,Germany,81384.0,28140.06,Norway,0
Atlanta 1996,1.0,Germany,20,18,27,65,Atlanta ,1996,United States,Germany,81861.0,29349.98,United States,0
Nagano 1998,0.0,Germany,12,9,8,29,Nagano ,1998,Japan,Germany,81993.0,31129.58,Japan,0
Sydney 2000,1.0,Germany,13,17,26,56,Sydney ,2000,Australia,Germany,82157.0,33367.28,Australia,0
Salt Lake City 2002,0.0,Germany,12,16,8,36,Salt Lake City ,2002,United States,Germany,82434.0,34590.93,United States,0
Athens 2004,1.0,Germany,13,16,20,49,Athens ,2004,Greece,Germany,82462.0,35528.71,Greece,0
Beijing 2008,1.0,Germany,16,11,14,41,Beijing ,2008,China,Germany,82056.0,40715.43,China,0
