games,summer,team,gold,silver,bronze,total,year,games_team
Athens 1896,1,Great Britain,2,3,2,7,1896,Athens 1896 | Great Britain
Athens 1896,1,Austria,2,1,2,5,1896,Athens 1896 | Austria
Athens 1896,1,Switzerland,1,2,0,3,1896,Athens 1896 | Switzerland
Athens 1896,1,Denmark,1,2,3,6,1896,Athens 1896 | Denmark
Athens 1896,1,Australia,2,0,0,2,1896,Athens 1896 | Australia
Athens 1896,1,Hungary,2,1,3,6,1896,Athens 1896 | Hungary
Athens 1896,1,MIX,1,0,1,2,1896,Athens 1896 | MIX
Athens 1896,1,Greece,10,18,19,47,1896,Athens 1896 | Greece
Athens 1896,1,France,5,4,2,11,1896,Athens 1896 | France
Athens 1896,1,Germany,6,5,2,13,1896,Athens 1896 | Germany
Athens 1896,1,United States of America,11,7,2,20,1896,Athens 1896 | United States of America
Paris 1900,1,Germany,4,3,2,9,1900,Paris 1900 | Germany
Paris 1900,1,Hungary,1,2,2,5,1900,Paris 1900 | Hungary
Paris 1900,1,Belgium,6,7,4,17,1900,Paris 1900 | Belgium
Paris 1900,1,Denmark,1,3,2,6,1900,Paris 1900 | Denmark
Paris 1900,1,MIX,8,5,6,19,1900,Paris 1900 | MIX
Paris 1900,1,Austria,0,3,3,6,1900,Paris 1900 | Austria
Paris 1900,1,Italy,3,2,0,5,1900,Paris 1900 | Italy
Paris 1900,1,Great Britain,15,8,9,32,1900,Paris 1900 | Great Britain
Paris 1900,1,Australia,2,0,3,5,1900,Paris 1900 | Australia
Paris 1900,1,Switzerland,6,2,1,9,1900,Paris 1900 | Switzerland
Paris 1900,1,Sweden,0,0,1,1,1900,Paris 1900 | Sweden
Paris 1900,1,Netherlands,0,2,3,5,1900,Paris 1900 | Netherlands
Paris 1900,1,United States of America,19,14,15,48,1900,Paris 1900 | United States of America
Paris 1900,1,Luxembourg,1,0,0,1,1900,Paris 1900 | Luxembourg
Paris 1900,1,France,27,38,37,102,1900,Paris 1900 | France
Paris 1900,1,Spain,1,0,0,1,1900,Paris 1900 | Spain
Paris 1900,1,Bohemia,0,1,1,2,1900,Paris 1900 | Bohemia
Paris 1900,1,India,0,2,0,2,1900,Paris 1900 | India
Paris 1900,1,Cuba,1,1,0,2,1900,Paris 1900 | Cuba
Paris 1900,1,Norway,0,2,3,5,1900,Paris 1900 | Norway
Paris 1900,1,Canada,1,0,1,2,1900,Paris 1900 | Canada
St. Louis 1904,1,France,0,1,0,1,1904,St. Louis 1904 | France
St. Louis 1904,1,Germany,4,5,6,15,1904,St. Louis 1904 | Germany
St. Louis 1904,1,Greece,1,0,1,2,1904,St. Louis 1904 | Greece
St. Louis 1904,1,Hungary,2,1,1,4,1904,St. Louis 1904 | Hungary
St. Louis 1904,1,Norway,2,0,0,2,1904,St. Louis 1904 | Norway
St. Louis 1904,1,Switzerland,1,0,2,3,1904,St. Louis 1904 | Switzerland
St. Louis 1904,1,Austria,1,1,1,3,1904,St. Louis 1904 | Austria
St. Louis 1904,1,Cuba,3,0,0,3,1904,St. Louis 1904 | Cuba
