games,summer,team,gold,silver,bronze,total,year
Athens 1896,1.0,United States of America,11,7,2,20,1896
Athens 1896,1.0,Greece,10,18,19,47,1896
Athens 1896,1.0,Germany,6,5,2,13,1896
Athens 1896,1.0,France,5,4,2,11,1896
Athens 1896,1.0,Great Britain,2,3,2,7,1896
Athens 1896,1.0,Hungary,2,1,3,6,1896
Athens 1896,1.0,Austria,2,1,2,5,1896
Athens 1896,1.0,Australia,2,0,0,2,1896
Athens 1896,1.0,Denmark,1,2,3,6,1896
Athens 1896,1.0,Switzerland,1,2,0,3,1896
Athens 1896,1.0,MIX,1,0,1,2,1896
London 1908,1.0,Great Britain,56,51,39,146,1908
London 1908,1.0,United States of America,23,12,12,47,1908
London 1908,1.0,Sweden,8,6,11,25,1908
London 1908,1.0,France,5,5,9,19,1908
London 1908,1.0,Germany,3,5,5,13,1908
London 1908,1.0,Hungary,3,4,2,9,1908
London 1908,1.0,Canada,3,3,10,16,1908
London 1908,1.0,Norway,2,3,3,8,1908
London 1908,1.0,Italy,2,2,0,4,1908
London 1908,1.0,Belgium,1,5,2,8,1908
London 1908,1.0,Australasia,1,2,2,5,1908
London 1908,1.0,Russian Federation,1,2,0,3,1908
London 1908,1.0,Finland,1,1,3,5,1908
London 1908,1.0,South Africa,1,1,0,2,1908
London 1908,1.0,Greece,0,3,1,4,1908
London 1908,1.0,Denmark,0,2,3,5,1908
London 1908,1.0,Netherlands,0,0,2,2,1908
London 1908,1.0,Bohemia,0,0,2,2,1908
London 1908,1.0,Austria,0,0,1,1,1908
Stockholm 1912,1.0,United States of America,26,19,19,64,1912
Stockholm 1912,1.0,Sweden,24,24,17,65,1912
Stockholm 1912,1.0,Great Britain,10,15,16,41,1912
Stockholm 1912,1.0,Finland,9,8,9,26,1912
Stockholm 1912,1.0,France,7,5,3,15,1912
Stockholm 1912,1.0,Germany,6,13,7,26,1912
Stockholm 1912,1.0,Italy,5,1,2,8,1912
Stockholm 1912,1.0,South Africa,4,2,0,6,1912
Stockholm 1912,1.0,Norway,4,1,5,10,1912
Stockholm 1912,1.0,Canada,3,2,3,8,1912
Stockholm 1912,1.0,Hungary,3,2,3,8,1912
Stockholm 1912,1.0,Australasia,2,2,3,7,1912
Stockholm 1912,1.0,Belgium,2,1,3,6,1912
Stockholm 1912,1.0,Denmark,1,6,5,12,1912
Stockholm 1912,1.0,Greece,1,0,1,2,1912
Stockholm 1912,1.0,Switzerland,1,0,0,1,1912
Stockholm 1912,1.0,Russian Federation,0,2,3,5,1912
Stockholm 1912,1.0,Austria,0,2,2,4,1912
Stockholm 1912,1.0,Netherlands,0,0,3,3,1912
Antwerp 1920,1.0,United States of America,41,27,27,95,1920
Antwerp 1920,1.0,Sweden,19,20,25,64,1920
Antwerp 1920,1.0,Belgium,16,12,14,42,1920
Antwerp 1920,1.0,Finland,15,10,9,34,1920
Antwerp 1920,1.0,Great Britain,14,16,13,43,1920
Antwerp 1920,1.0,Italy,14,6,5,25,1920
Antwerp 1920,1.0,Norway,13,10,9,32,1920
Antwerp 1920,1.0,France,9,20,13,42,1920
Antwerp 1920,1.0,Netherlands,4,2,5,11,1920
Antwerp 1920,1.0,Denmark,3,9,1,13,1920
Antwerp 1920,1.0,South Africa,3,4,3,10,1920
Antwerp 1920,1.0,Canada,3,3,3,9,1920
Antwerp 1920,1.0,Switzerland,2,2,7,11,1920
Antwerp 1920,1.0,Estonia,1,2,0,3,1920
Antwerp 1920,1.0,Brazil,1,1,1,3,1920
Antwerp 1920,1.0,Australia,0,2,1,3,1920
Antwerp 1920,1.0,Spain,0,2,0,2,1920
Antwerp 1920,1.0,Japan,0,2,0,2,1920
Antwerp 1920,1.0,Greece,0,1,0,1,1920
Antwerp 1920,1.0,Luxembourg,0,1,0,1,1920
Antwerp 1920,1.0,Czechoslovakia,0,0,2,2,1920
Antwerp 1920,1.0,New Zealand,0,0,1,1,1920
Paris 1924,1.0,United States of America,45,27,27,99,1924
Paris 1924,1.0,France,14,15,12,41,1924
Paris 1924,1.0,Finland,14,13,10,37,1924
Paris 1924,1.0,Great Britain,9,14,12,35,1924
Paris 1924,1.0,Italy,8,3,5,16,1924
Paris 1924,1.0,Switzerland,7,8,10,25,1924
Paris 1924,1.0,Norway,5,2,3,10,1924
Paris 1924,1.0,Sweden,4,13,12,29,1924
Paris 1924,1.0,Netherlands,4,1,6,11,1924
Paris 1924,1.0,Belgium,3,7,3,13,1924
Paris 1924,1.0,Australia,3,1,2,6,1924
Paris 1924,1.0,Denmark,2,6,3,11,1924
Paris 1924,1.0,Hungary,2,4,4,10,1924
Paris 1924,1.0,Yugoslavia,2,0,0,2,1924
Paris 1924,1.0,Czechoslovakia,1,4,5,10,1924
Paris 1924,1.0,Argentina,1,3,2,6,1924
Paris 1924,1.0,Estonia,1,1,4,6,1924
Paris 1924,1.0,South Africa,1,1,1,3,1924
Paris 1924,1.0,Luxembourg,1,1,0,2,1924
Paris 1924,1.0,Greece,1,0,0,1,1924
Paris 1924,1.0,Uruguay,1,0,0,1,1924
Paris 1924,1.0,Canada,0,3,1,4,1924
Paris 1924,1.0,Austria,0,3,1,4,1924
Paris 1924,1.0,Ireland,0,1,1,2,1924
Paris 1924,1.0,Poland,0,1,1,2,1924
Paris 1924,1.0,Japan,0,0,1,1,1924
Paris 1924,1.0,Haiti,0,0,1,1,1924
Paris 1924,1.0,Monaco,0,0,1,1,1924
Paris 1924,1.0,Portugal,0,0,1,1,1924
Paris 1924,1.0,Romania,0,0,1,1,1924
Paris 1924,1.0,New Zealand,0,0,1,1,1924
Chamonix 1924,0.0,Norway,4,7,6,17,1924
Chamonix 1924,0.0,Finland,4,4,3,11,1924
Chamonix 1924,0.0,Austria,2,1,0,3,1924
Chamonix 1924,0.0,Switzerland,2,0,1,3,1924
Chamonix 1924,0.0,United States of America,1,2,1,4,1924
Chamonix 1924,0.0,Great Britain,1,1,2,4,1924
Chamonix 1924,0.0,Sweden,1,1,0,2,1924
Chamonix 1924,0.0,Canada,1,0,0,1,1924
Chamonix 1924,0.0,MIX,1,0,0,1,1924
Chamonix 1924,0.0,France,0,0,3,3,1924
Chamonix 1924,0.0,Belgium,0,0,1,1,1924
Amsterdam 1928,1.0,United States of America,22,18,16,56,1928
Amsterdam 1928,1.0,Germany,11,9,19,39,1928
Amsterdam 1928,1.0,Netherlands,8,10,5,23,1928
Amsterdam 1928,1.0,Finland,8,8,9,25,1928
Amsterdam 1928,1.0,France,7,12,6,25,1928
Amsterdam 1928,1.0,Sweden,7,6,12,25,1928
Amsterdam 1928,1.0,Italy,7,6,7,20,1928
Amsterdam 1928,1.0,Switzerland,7,6,4,17,1928
Amsterdam 1928,1.0,Hungary,5,5,0,10,1928
Amsterdam 1928,1.0,Great Britain,4,11,7,22,1928
Amsterdam 1928,1.0,Canada,4,4,7,15,1928
Amsterdam 1928,1.0,Argentina,3,3,1,7,1928
Amsterdam 1928,1.0,Denmark,3,2,4,9,1928
Amsterdam 1928,1.0,Austria,3,0,1,4,1928
Amsterdam 1928,1.0,Czechoslovakia,2,5,2,9,1928
Amsterdam 1928,1.0,Japan,2,2,1,5,1928
Amsterdam 1928,1.0,Poland,2,1,4,7,1928
Amsterdam 1928,1.0,Estonia,2,1,2,5,1928
Amsterdam 1928,1.0,Egypt,2,1,1,4,1928
Amsterdam 1928,1.0,Norway,1,2,1,4,1928
