games,country,alpha_3,ioc_code,host,year,gold,silver,bronze,total,summer,pop_0,pop_4,pop_8,pop_12,pop_16,pop_20,pop_24,pop_28,pop_32,pop_36,pop_40,gdppc_0,gdppc_4,gdppc_8,gdppc_12,gdppc_16,gdppc_20,gdppc_24,gdppc_28,gdppc_32,gdppc_36,gdppc_40,host_n4,host_0,host_p4,host_p8,host_p12,games_gold,games_silver,games_bronze,games_medals,n_teams,medals_per_team,past_tot_1,past_tot_2,past_tot_3,past_tot_4,past_tot_5
Athens 1896,Australia,AUS,AUS,0,1896,2,0,0,2,1,3523.0,3274.0,2932.0,2556.0,2197.0,1929.0,1722.0,1700.0,1495.0,1326.0,1065.0,5874.0,6368.0,7179.0,6861.0,6830.0,6387.0,5663.0,5031.0,4616.0,4613.0,4866.0,0,0,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,Austria,AUT,AUT,0,1896,2,1,2,5,1,5739.0,5504.0,5303.0,5121.0,4941.0,4772.0,4604.0,4469.0,4350.0,4235.0,4120.0,4305.0,4041.0,3792.0,3583.0,3314.0,3188.0,3150.0,2942.8,2888.4,2834.0,2752.4,0,0,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,Bulgaria,BGR,BUL,0,1896,0,0,0,0,1,3778.0,3556.0,3359.1,3187.3,3015.5,2843.7,2671.9,2577.4,2560.2,2543.0,2525.8,1671.4285714285713,1804.0,1719.4545454545455,1634.909090909091,1550.3636363636365,1465.8181818181818,1381.2727272727273,,,,,0,0,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,Chile,CHL,CHI,0,1896,0,0,0,0,1,2818.0,2678.0,2538.0,2400.0,2264.0,2132.0,2006.0,1885.0,1770.0,1661.0,1557.0,3379.0,3005.0,2617.0,2703.0,2418.0,1988.0,1910.0,1714.0,1667.0,1588.0,1427.0,0,0,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,Denmark,DNK,DEN,0,1896,1,2,3,6,1,2428.0,2327.0,2257.0,2160.0,2081.0,1994.0,1918.0,1852.0,1777.0,1696.0,1612.0,4521.0,4141.0,3808.0,3642.0,3476.0,3395.0,3327.0,2954.0,2922.0,2775.0,2735.0,0,0,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,Egypt,EGY,EGY,0,1896,0,0,0,0,1,10129.697674418605,9655.744186046511,9181.79069767442,8707.837209302326,8233.883720930233,7759.930232558139,7285.976744186047,6934.8,6706.4,6478.0,6249.6,1484.6279069767443,1440.0697674418604,1395.5116279069766,1350.953488372093,1306.3953488372092,1261.8372093023256,1217.2790697674418,1185.44,1166.32,1147.2,1128.08,0,0,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,France,FRA,FRA,0,1896,5,4,2,11,1,40192.0,39993.0,39920.0,39629.0,39045.0,38398.0,37679.0,38330.0,37860.0,37300.0,37060.0,4280.0,3974.0,3617.0,3591.0,3379.0,3233.0,3312.0,3159.0,3169.0,3016.0,2687.0,1,0,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,Germany,DEU,GER,0,1896,6,5,2,13,1,51111.0,48633.0,46538.0,44777.0,43500.0,41491.0,39691.0,38637.0,37602.0,36049.0,34715.0,4368.0,3936.0,3732.0,3472.0,3174.0,3301.0,3078.0,2966.0,2837.0,2613.0,2440.0,0,0,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,Great Britain,GBR,GBR,0,1896,2,3,2,7,1,39599.0,38134.0,36881.0,35724.0,34623.0,33200.0,31874.0,30845.0,29842.0,28888.0,27978.0,7211.0,6553.0,6585.0,6220.0,5997.0,5938.0,5769.0,5636.0,5255.0,5086.0,5013.0,0,0,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,Greece,GRC,GRE,1,1896,10,18,19,47,1,4764.0,4574.0,4392.0,4217.0,4049.0,3887.0,3732.0,3591.0,3461.0,3336.0,3216.0,2359.0,2053.0,2566.0,2351.0,2028.0,1921.0,1806.0,2020.0,1854.0,2125.0,1757.0,0,1,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,Hungary,HUN,HUN,0,1896,2,1,3,6,1,6925.0,6723.0,6551.5,6410.5,6269.5,6128.5,5987.5,5841.4,5690.2,5539.0,5387.8,2547.8,2414.6,2287.3,2165.9,2044.5,1923.1,1801.7,,,,,0,0,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,Italy,ITA,ITA,0,1896,0,0,0,0,1,32863.0,32091.0,31243.0,30366.0,29534.0,28837.0,28233.0,27501.0,26814.0,26081.0,25420.0,3153.0,3017.0,3065.0,2898.0,2796.0,2662.0,2593.0,2626.67,2642.03,2572.91,2380.9,0,0,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,Sweden,SWE,SWE,0,1896,0,0,0,0,1,4941.0,4805.0,4741.0,4624.0,4572.0,4406.0,4227.0,4154.0,4046.0,3824.0,3657.0,3003.0,2713.0,2511.0,2477.0,2359.0,2431.0,2259.0,1774.0,1919.0,1941.0,1771.0,0,0,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,Switzerland,CHE,SUI,0,1896,1,2,0,3,1,3151.0,3002.0,2929.0,2885.0,2839.0,2768.0,2697.0,2623.0,2566.0,2510.0,2457.0,5967.25,5270.19,5118.9,4542.09,3869.37,3851.91,3140.49,3053.11,2807.79,2933.63,2419.27,0,0,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,United States of America,USA,USA,0,1896,11,7,2,20,1,71161.0,65922.0,60732.0,55595.0,50458.0,46287.0,42136.0,38546.0,35192.0,31839.0,28535.0,6885.67,7324.06,6447.28,6523.13,6255.73,5049.84,4991.98,4815.86,4889.14,4401.89,4247.62,0,0,0,0,0,43,43,36,122,16,7.625,,,,,
Athens 1896,MIX,,ZZX,0,1896,1,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,43,43,36,122,16,7.625,,,,,
Paris 1900,Argentina,ARG,ARG,0,1900,0,0,0,0,1,4693.0,4166.2,3639.4,3218.0,2902.0,2586.0,2270.0,1954.0,1726.4,1587.1999999999998,1448.0,4583.0,5716.0,4251.0,4219.0,3486.0,2557.0,2611.0,2446.4,2304.0,2232.0,2160.0,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Australia,AUS,AUS,0,1900,2,0,3,5,1,3741.0,3523.0,3274.0,2932.0,2556.0,2197.0,1929.0,1722.0,1700.0,1495.0,1326.0,6397.0,5874.0,6368.0,7179.0,6861.0,6830.0,6387.0,5663.0,5031.0,4616.0,4613.0,0,0,0,0,0,96,95,93,284,32,8.875,2.0,,,,
Paris 1900,Austria,AUT,AUT,0,1900,0,3,3,6,1,5973.0,5739.0,5504.0,5303.0,5121.0,4941.0,4772.0,4604.0,4469.0,4350.0,4235.0,4594.0,4305.0,4041.0,3792.0,3583.0,3314.0,3188.0,3150.0,2942.8,2888.4,2834.0,0,0,0,0,0,96,95,93,284,32,8.875,5.0,,,,
Paris 1900,Belgium,BEL,BEL,0,1900,6,7,4,17,1,6719.0,6494.0,6231.0,6007.0,5807.0,5541.0,5345.0,5178.0,5023.0,4879.0,4740.0,5947.0,5660.0,5486.0,5176.0,4999.0,4886.0,4583.0,4501.0,4095.0,3931.0,3655.0,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Brazil,BRA,BRA,0,1900,0,0,0,0,1,17984.0,16362.0,14886.0,13682.0,12703.0,11794.0,10951.0,10167.0,9540.7,9028.1,8515.5,874.0,915.0,999.0,977.0,1135.0,1058.0,1081.0,1122.0,1170.0,971.0,991.0,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Canada,CAN,CAN,0,1900,1,0,1,2,1,5457.0,5218.0,5022.0,4813.0,4617.0,4384.0,4128.0,3870.0,3698.6,3533.8,3369.0,4640.0,3647.0,3779.0,3585.0,3556.0,2895.0,2616.0,2718.0,2624.2,2468.6,2313.0,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Colombia,COL,COL,0,1900,0,0,0,0,1,3998.0,3746.4,3494.8,3271.3,3075.9,2880.5,2685.1,2489.7,2359.3,2293.9,2228.5,1089.0,1109.0,1132.0,1156.0,1156.0,1133.0,1111.0,1089.0,1045.0,979.0,913.0,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Cuba,CUB,CUB,0,1900,1,1,0,2,1,1658.0,1614.4,1570.8,1527.2,1483.6,1440.0,1396.4,1352.8,1316.5,1287.5,1258.5,1691.4,1714.2,1737.0,1566.090909090909,1395.1818181818182,1256.5263157894738,1214.6315789473683,1172.7368421052631,1130.842105263158,1088.9473684210527,1038.0,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Bohemia,,BOH,0,1900,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Denmark,DNK,DEN,0,1900,1,3,2,6,1,2561.0,2428.0,2327.0,2257.0,2160.0,2081.0,1994.0,1918.0,1852.0,1777.0,1696.0,4809.0,4521.0,4141.0,3808.0,3642.0,3476.0,3395.0,3327.0,2954.0,2922.0,2775.0,0,0,0,0,0,96,95,93,284,32,8.875,6.0,,,,
Paris 1900,France,FRA,FRA,1,1900,27,38,37,102,1,40598.0,40192.0,39993.0,39920.0,39629.0,39045.0,38398.0,37679.0,38330.0,37860.0,37300.0,4584.0,4280.0,3974.0,3617.0,3591.0,3379.0,3233.0,3312.0,3159.0,3169.0,3016.0,0,1,0,0,0,96,95,93,284,32,8.875,11.0,,,,
Paris 1900,Germany,DEU,GER,0,1900,4,3,2,9,1,54388.0,51111.0,48633.0,46538.0,44777.0,43500.0,41491.0,39691.0,38637.0,37602.0,36049.0,4758.0,4368.0,3936.0,3732.0,3472.0,3174.0,3301.0,3078.0,2966.0,2837.0,2613.0,0,0,0,0,0,96,95,93,284,32,8.875,13.0,,,,
Paris 1900,Great Britain,GBR,GBR,0,1900,15,8,9,32,1,41155.0,39599.0,38134.0,36881.0,35724.0,34623.0,33200.0,31874.0,30845.0,29842.0,28888.0,7594.0,7211.0,6553.0,6585.0,6220.0,5997.0,5938.0,5769.0,5636.0,5255.0,5086.0,0,0,0,0,0,96,95,93,284,32,8.875,7.0,,,,
Paris 1900,Greece,GRC,GRE,0,1900,0,0,0,0,1,4962.0,4764.0,4574.0,4392.0,4217.0,4049.0,3887.0,3732.0,3591.0,3461.0,3336.0,1972.0,2359.0,2053.0,2566.0,2351.0,2028.0,1921.0,1806.0,2020.0,1854.0,2125.0,0,0,1,0,0,96,95,93,284,32,8.875,47.0,,,,
Paris 1900,Haiti,HTI,HAI,0,1900,0,0,0,0,1,1560.0,1505.3333333333333,1450.6666666666665,1396.0,1341.3333333333333,1286.6666666666667,1232.0,1177.3333333333333,1128.8,1086.4,1044.0,,,,,,,,,,,,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Hungary,HUN,HUN,0,1900,1,2,2,5,1,7127.0,6925.0,6723.0,6551.5,6410.5,6269.5,6128.5,5987.5,5841.4,5690.2,5539.0,2681.0,2547.8,2414.6,2287.3,2165.9,2044.5,1923.1,1801.7,,,,0,0,0,0,0,96,95,93,284,32,8.875,6.0,,,,
Paris 1900,India,IND,IND,0,1900,0,2,0,2,1,284500.0,282540.0,280594.0,274990.0,265946.0,257200.0,255512.0,253834.0,251225.0,247712.0,244249.0,955.0,850.0,910.0,918.0,878.0,870.0,862.0,854.0,860.2222222222222,880.6666666666666,901.1,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Islamic Republic of Iran,IRN,IRI,0,1900,0,0,0,0,1,10214.302325581395,9974.39534883721,9734.488372093023,9494.581395348838,9254.67441860465,9014.767441860466,8774.860465116279,8534.953488372093,8340.8,8192.4,8044.0,1178.5581395348836,1148.8837209302326,1119.2093023255813,1089.5348837209303,1059.860465116279,1030.1860465116279,1000.5116279069767,970.8372093023256,952.84,946.52,940.2,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Italy,ITA,ITA,0,1900,3,2,0,5,1,33672.0,32863.0,32091.0,31243.0,30366.0,29534.0,28837.0,28233.0,27501.0,26814.0,26081.0,3264.0,3153.0,3017.0,3065.0,2898.0,2796.0,2662.0,2593.0,2626.67,2642.03,2572.91,0,0,0,0,0,96,95,93,284,32,8.875,0.0,,,,
Paris 1900,Luxembourg,LUX,LUX,0,1900,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Mexico,MEX,MEX,0,1900,0,0,0,0,1,13607.0,12822.0,12083.0,11450.0,10912.0,10399.0,9910.0,9444.0,9063.3,8751.9,8440.5,1822.0,1785.0,1643.6,1515.8,1411.4,1307.0,1202.6,1098.2,1021.0,971.0,921.0,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Netherlands,NLD,NED,0,1900,0,2,3,5,1,5142.0,4866.0,4632.0,4432.0,4226.0,4043.0,3832.0,3662.0,3543.0,3431.0,3318.0,5306.0,5359.0,5131.0,5231.0,5085.0,4666.0,4595.0,4414.0,4152.0,4111.0,3840.0,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,New Zealand,NZL,NZL,0,1900,0,0,0,0,1,807.0,748.0,686.0,649.0,598.0,520.0,434.0,320.0,259.2,195.6,132.0,6851.0,6357.0,6059.0,5665.0,5903.0,5973.0,5775.0,5616.0,4658.0,4092.0,3526.0,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Norway,NOR,NOR,0,1900,0,2,3,5,1,2230.0,2112.0,2026.0,1977.0,1929.0,1919.0,1829.0,1755.0,1724.0,1668.0,1596.0,3249.0,3102.0,2748.0,2692.0,2518.0,2503.0,2477.0,2342.0,1975.0,1986.0,1887.0,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Peru,PER,PER,0,1900,0,0,0,0,1,3648.0,3470.0,3387.3333333333335,3272.0,3124.0,2976.0,2828.0,2680.0,2545.5,2424.5,2303.5,1084.0,917.0,925.0,915.0,912.0,859.0,1792.0,1771.0,1312.0,1278.0,1313.0,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Romania,ROU,ROU,0,1900,0,0,0,0,1,11000.0,10749.2,10498.4,10253.6,10014.8,9776.0,9537.2,9298.4,9061.1,8825.3,8589.5,615.0,657.0,628.0,564.0,440.0,574.0,430.0,373.0,386.0,386.0,,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Russian Federation,RUS,RU1,0,1900,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Spain,ESP,ESP,0,1900,1,0,0,1,1,18566.0,18238.0,17916.0,17600.0,17230.0,16859.0,16545.0,16315.0,16088.0,15864.0,15642.0,2676.0,2330.0,2719.0,2475.0,2590.0,2520.0,2346.0,2246.0,1701.0,1946.0,1930.0,0,0,0,0,0,96,95,93,284,32,8.875,,,,,
Paris 1900,Sweden,SWE,SWE,0,1900,0,0,1,1,1,5117.0,4941.0,4805.0,4741.0,4624.0,4572.0,4406.0,4227.0,4154.0,4046.0,3824.0,3320.0,3003.0,2713.0,2511.0,2477.0,2359.0,2431.0,2259.0,1774.0,1919.0,1941.0,0,0,0,0,0,96,95,93,284,32,8.875,0.0,,,,
Paris 1900,Switzerland,CHE,SUI,0,1900,6,2,1,9,1,3300.0,3151.0,3002.0,2929.0,2885.0,2839.0,2768.0,2697.0,2623.0,2566.0,2510.0,6611.78,5967.25,5270.19,5118.9,4542.09,3869.37,3851.91,3140.49,3053.11,2807.79,2933.63,0,0,0,0,0,96,95,93,284,32,8.875,3.0,,,,
Paris 1900,United States of America,USA,USA,0,1900,19,14,15,48,1,76391.0,71161.0,65922.0,60732.0,55595.0,50458.0,46287.0,42136.0,38546.0,35192.0,31839.0,8037.57,6885.67,7324.06,6447.28,6523.13,6255.73,5049.84,4991.98,4815.86,4889.14,4401.89,1,0,0,0,0,96,95,93,284,32,8.875,20.0,,,,
Paris 1900,MIX,,ZZX,0,1900,8,5,6,19,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,96,95,93,284,32,8.875,2.0,,,,
St. Louis 1904,Australia,AUS,AUS,0,1904,0,3,1,4,1,3946.0,3741.0,3523.0,3274.0,2932.0,2556.0,2197.0,1929.0,1722.0,1700.0,1495.0,6846.0,6397.0,5874.0,6368.0,7179.0,6861.0,6830.0,6387.0,5663.0,5031.0,4616.0,0,0,0,0,0,97,96,93,286,13,22.0,5.0,2.0,,,
