,Games,Name,Team,Medal,Event,stripped
67992,1968 Summer,Bjrn Bernt Ewald Ferm,Sweden,,Modern Pentathlon Men's Team,1
105173,1968 Summer,Hans Olov Dan Jacobson,Sweden,,Modern Pentathlon Men's Team,1
139079,1968 Summer,Hans-Gunnar Liljenwall,Sweden,,Modern Pentathlon Men's Team,1
12967,1972 Summer,Bakhvain Buyadaa,Mongolia,,Judo Men's Lightweight,1
53695,1972 Summer,Fedor Iwan den Hertog,Netherlands,,Cycling Men's 100 kilometres Team Time Trial,1
128599,1972 Summer,"Hendrikus Andreas ""Hennie"" Kuiper",Netherlands,,Cycling Men's 100 kilometres Team Time Trial,1
193127,1972 Summer,"Cornelis Johannes ""Cees"" Priem",Netherlands,,Cycling Men's 100 kilometres Team Time Trial,1
248354,1972 Summer,"Adriaan ""Aad"" van den Hoek",Netherlands,,Cycling Men's 100 kilometres Team Time Trial,1
100473,1972 Summer,Jaime Hulamo Hulamo,Spain,,"Cycling Men's Road Race, Individual",1
53637,1972 Summer,"Richard James ""Rick"" DeMont",United States,,Swimming Men's 400 metres Freestyle,1
22886,1976 Summer,Blagoy Blagoev,Bulgaria,,Weightlifting Men's Light-Heavyweight,1
117449,1976 Summer,Valentin Khristov,Bulgaria,,Weightlifting Men's Heavyweight,1
47568,1976 Summer,Kazimierz Czarnecki,Poland,Bronze,Weightlifting Men's Lightweight,1
128725,1976 Winter,Galina Alekseyevna Kulakova,Soviet Union,,Cross Country Skiing Women's 5 kilometres,1
247268,1984 Summer,Martti Olavi Vainio,Finland,,"Athletics Men's 10,000 metres",1
109190,1984 Summer,Kent-Olle Tommy Johansson,Sweden,Silver,"Wrestling Men's Featherweight, Greco-Roman",1
77729,1988 Summer,Angel Angelov Genchev,Bulgaria,,Weightlifting Men's Lightweight,1
83014,1988 Summer,Mitko Todorov Grablev,Bulgaria,,Weightlifting Men's Bantamweight,1
109446,1988 Summer,"Benjamin Sinclair ""Ben"" Johnson, Jr.",Canada,,Athletics Men's 100 metres,1
234083,1988 Summer,Andor Szanyi,Hungary,,Weightlifting Men's Heavyweight I,1
209017,1992 Summer,Ibragim Berkmanovich Samadov,Unified Team,,Weightlifting Men's Light-Heavyweight,1
48977,2000 Summer,Ashot Danielyan,Armenia,,Weightlifting Men's Super-Heavyweight,1
58378,2000 Summer,Izabela Dragneva (Rifatova-),Bulgaria,,Weightlifting Women's Flyweight,1
104368,2000 Summer,Ivan Ivanov Ivanov,Bulgaria,,Weightlifting Men's Bantamweight,1
159633,2000 Summer,Sevdalin Minchev Angelov,Bulgaria,,Weightlifting Men's Featherweight,1
57340,2000 Summer,Dong Fangxiao,China,,Gymnastics Women's Team All-Around,1
100056,2000 Summer,Huang Mandan,China,,Gymnastics Women's Team All-Around,1
128583,2000 Summer,Kui Yuanyuan,China,,Gymnastics Women's Team All-Around,1
140030,2000 Summer,Ling Jie,China,,Gymnastics Women's Team All-Around,1
140768,2000 Summer,Liu Xuan,China,,Gymnastics Women's Team All-Around,1
264955,2000 Summer,Yang Yun,China,,Gymnastics Women's Team All-Around,1
136216,2000 Summer,Alexander Leipold,Germany,,"Wrestling Men's Middleweight, Freestyle",1
195639,2000 Summer,Andreea Mdlina Rducan,Romania,,Gymnastics Women's Individual All-Around,1
9422,2000 Summer,Lance Edward Armstrong (Gunderson-),United States,,Cycling Men's Individual Time Trial,1
91133,2000 Summer,Alvin Leonardo Harrison,United States,,Athletics Men's 4 x 400 metres Relay,1
91141,2000 Summer,Calvin R. Harrison,United States,,Athletics Men's 4 x 400 metres Relay,1
109636,2000 Summer,Michael Duane Johnson,United States,,Athletics Men's 4 x 400 metres Relay,1
110164,2000 Summer,"Marion Lois Jones (-Hunter, -Montgomery, -Thompson)",United States,,Athletics Women's 200 metres,1
110165,2000 Summer,"Marion Lois Jones (-Hunter, -Montgomery, -Thompson)",United States,,Athletics Women's 4 x 100 metres Relay,1
110167,2000 Summer,"Marion Lois Jones (-Hunter, -Montgomery, -Thompson)",United States,,Athletics Women's Long Jump,1
187576,2000 Summer,Antonio Pettigrew,United States,,Athletics Men's 4 x 400 metres Relay,1
237018,2000 Summer,"Angelo F. Taylor, Jr.",United States,,Athletics Men's 4 x 400 metres Relay,1
266262,2000 Summer,Jerome Young,United States,,Athletics Men's 4 x 400 metres Relay,1
16513,2002 Winter,Alain Baxter,Great Britain,,Alpine Skiing Men's Slalom,1
49034,2002 Winter,Olga Valeryevna Danilova,Russia,,Cross Country Skiing Women's 10 kilometres,1
49036,2002 Winter,Olga Valeryevna Danilova,Russia,,Cross Country Skiing Women's 5/5 kilometres Pursuit,1
133945,2002 Winter,Larisa Yevgenyevna Lazutina (Ptitsyna-),Russia,,Cross Country Skiing Women's 10 kilometres,1
133947,2002 Winter,Larisa Yevgenyevna Lazutina (Ptitsyna-),Russia,,Cross Country Skiing Women's 30 kilometres,1
133948,2002 Winter,Larisa Yevgenyevna Lazutina (Ptitsyna-),Russia,,Cross Country Skiing Women's 5/5 kilometres Pursuit,1
165122,2002 Winter,Johann Mhlegg,Spain,,Cross Country Skiing Men's 30 kilometres,1
165123,2002 Winter,Johann Mhlegg,Spain,,Cross Country Skiing Men's 50 kilometres,1
